,Stock,Company,Price,Price_Change,date_time
0,,,,,
0,EV,Eaton Vance Corp,$ 60.61,$19.67 (48.05%),2020-10-08 15:28:30.413756
1,GME,GameStop Corp,$ 11.93,$2.57 (27.46%),2020-10-08 15:28:30.413756
2,CRDF,Cardiff Oncology Inc,$ 17.21,$3.70 (27.39%),2020-10-08 15:28:30.413756
3,JMIA,Jumia Technologies AG,$ 10.49,$1.96 (22.98%),2020-10-08 15:28:30.413756
4,CDNA,CareDx Inc,$ 49.88,$6.02 (13.73%),2020-10-08 15:28:30.413756
5,CYTK,Cytokinetics Inc,$ 15.75,$-11.91 (-43.07%),2020-10-08 15:28:30.413756
6,ENLV,Enlivex Therapeutics Ltd,$ 11.68,$-1.77 (-13.16%),2020-10-08 15:28:30.413756
7,RUN,Sunrun Inc,$ 69.21,$-8.84 (-11.33%),2020-10-08 15:28:30.413756
8,OPRX,OptimizeRx Corp,$ 19.47,$-2.37 (-10.85%),2020-10-08 15:28:30.413756
9,ANGI,ANGI Homeservices Inc,$ 11.38,$-1.36 (-10.68%),2020-10-08 15:28:30.413756
